Children's Music	childrensmusic	59
Childrenâ€™s Music	childrensmusic	59
Blues	blues	49
Rock	rock	49
Alternative	alternative	48
Comedy	comedy	45
Hip-Hop	hiphop	44
Reggae	reggae	43
Soul	soul	42
Dance	dance	40
Indie	indie	40
Reggaeton	reggaeton	39
World	world	39
Electronic	electronic	38
Folk	folk	38
Jazz	jazz	38
Rap	rap	37
Country	country	36
Movie	movie	35
Pop	pop	34
R&B	rb	31
Soundtrack	soundtrack	31
Ska	ska	27
Anime	anime	26
Classical	classical	21
Opera	opera	20
original_genre	normalized_genre	occurrences
